Day,Date,Park,Park Phone,Title,CC,Rating,Underwriter,Park Address,Location
Sat,08/17/2019,DuSable Museum of African American History,(312) 742-1134,Trinity Goodheart,Y,NR,The DuSable Museum of African American History,740 E. 56th Pl.,"(41.79248002, -87.60685252)"
Wed,06/26/2019,Horner Park,(773) 478-3499,Wonder,Y,PG,JCC Chicago,2741 W. Montrose Ave.,"(41.9611441, -87.69770153)"
Thu,06/20/2019,Maggie Daley Park,(312) 742-3918,Ralph Breaks the Internet,Y,PG,,337 E. Randolph St.,"(41.88422161, -87.61933906)"
Mon,06/24/2019,Harold Washington Playlot Park,(312) 747-6620,Cabaret,Y,PG,,5200 S. Hyde Park Blvd.,"(41.80047033, -87.58450476)"
Thu,06/20/2019,McKiernan Playground Park,(312) 747-2883,Avengers: Infinity War,Y,PG-13,,10714 S. Sawyer Ave.,"(41.69846337, -87.70242508)"
Fri,06/28/2019,Portage Park,(773) 685-7235,Dirty Dancing,Y,PG-13,,4100 N. Long Ave.,"(41.95510787, -87.76228458)"
Sat,06/15/2019,Tuley Park,(312) 747-6763,Night School,Y,PG-13,,501 E. 90th Pl.,"(41.73008229, -87.61181885)"
Fri,08/16/2019,Tilton Park,(773) 287-0806,Avengers: Infinity War,Y,PG-13,,305 N. Kostner Ave.,"(41.88560476, -87.73548782)"
Mon,07/22/2019,Haas Park,(312) 742-7552,Spider-Man: Into the Spider-Verse,Y,PG,,2402 N. Washtenaw Ave.,"(41.92494165, -87.69512119)"
Sat,07/27/2019,Buttercup Playlot Park,(312) 742-7502,Come Drink With Me,N,NR,,4901 N. Sheridan Rd.,"(41.97166865, -87.65473895)"
Wed,08/21/2019,Gill Park,(312) 742-7802,Wonder,Y,PG,JCC Chicago,825 W. Sheridan Rd.,"(41.9526213, -87.65067083)"
Thu,08/08/2019,Burnside Park,(312) 747-6015,A Wrinkle in Time,Y,PG,,9400 S. Greenwood Ave.,"(41.72400937, -87.59741566)"
Mon,08/19/2019,Grant Park: Logan Monument,(312) 742-1134,Grease,Y,PG,The Greater South Loop Association,900 S. Michigan Ave.,"(41.87055847, -87.62428661)"
Wed,06/19/2019,Green Briar Park,(773) 761-0582,Alice in Wonderland,Y,G,,2650 W. Peterson Ave.,"(41.99056874, -87.69659414)"
Thu,06/27/2019,Gross Park,(312) 742-7528,Mary Poppins Returns,Y,PG,,2708 W. Lawrence Ave.,"(41.96865935, -87.69662091)"
Tue,07/16/2019,Beverly Park,(312) 747-6024,Cars (2006),Y,G,,2460 W. 102nd St.,"(41.70829186, -87.68413609)"
Tue,08/06/2019,West Lawn Park,(773) 284-2803,Coco,Y,PG,,4233 W. 65th St.,"(41.77486501, -87.72884225)"
Sun,06/30/2019,Chicago Women's Park and Gardens,(312) 328-0821,The Incredibles 2,Y,PG,The Prairie District Neighborhood Alliance,1801 S. Indiana Ave.,"(41.85783824, -87.62218405)"
Thu,07/11/2019,Dunbar Park,(312) 747-6287,Black Panther,Y,PG-13,,300 E. 31st St.,"(41.83849698, -87.62015738)"
Fri,06/21/2019,Mandrake Park,(312) 747-6446,Spider-Man: Into the Spider-Verse,Y,PG,,900 E. Pershing Rd.,"(41.82509196, -87.60390798)"
Sat,08/10/2019,Humboldt Park,(312) 742-7549,Smallfoot,Y,PG,,1440 N. Sacramento,"(-87.701792, 41.902822)"
Thu,08/15/2019,West Pullman Park,(312) 747-7090,Black Panther,Y,PG-13,,401 W. 123rd St.,"(41.6705255, -87.63211402)"
Sat,07/20/2019,Bradley Park,(312) 747-6022,Black Panther,Y,PG-13,,9729 S.Yates Ave.,"(41.71809861, -87.56450116)"
Fri,07/26/2019,Clarendon Park Community Center,(312) 742-7512,Spider-Man: Into the Spider-Verse,Y,PG,,4501 N. Clarendon Ave.,"(41.96371269, -87.64981992)"
Fri,07/12/2019,Moore Park,(773) 287-0561,Creed II,Y,PG-13,,5085 W. Adams,"(41.87839125, -87.75274341)"
Mon,08/05/2019,Julia de Burgos Park,(312) 742-7529,Trolls,Y,NR,The 606,1805 N. Albany Ave.,"(41.91389527, -87.70502242)"
Tue,07/02/2019,Harold Washington Playlot Park,(312) 747-6620,Leap!,Y,PG,The Cultural Service at the Consulate General of France,5200 S. Hyde Park Blvd.,"(41.80047033, -87.58450476)"
Tue,07/30/2019,Humboldt Park,(312) 742-7549,The Incredibles 2,Y,PG,,1440 N. Sacramento,"(-87.701792, 41.902822)"
Sun,07/14/2019,Jonquil Playlot Park,(312) 742-7816,Spider-Man: Homecoming,Y,PG-13,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"(41.92889597, -87.65385229)"
Wed,07/31/2019,Chicago History Museum,(312) 742-1134,My Favorite Wife,Y,NR,The Chicago History Museum,1601 N. Clark St.,
Wed,07/24/2019,La Villita Park,(312) 747-6608,Smallfoot,Y,PG,,2800 S. Sacramento Blvd.,"(41.8408764, -87.70018045)"
Mon,06/10/2019,Belmont Harbor,(312) 742-1134,The 39 Steps,Y,NR,,3200 N. Lake Shore Dr.,"(41.94090916, -87.63936916)"
Tue,07/09/2019,Ward (A. Montgomery) Park,(312) 742-7895,Mary Poppins Returns,Y,PG,The River North Resident's Association,630 N. Kingsbury St.,"(41.893015, -87.64125791)"
Sat,08/24/2019,Oz Park,(312) 742-7898,The Wizard of Oz,Y,G,,2021 N. Burling St.,"(41.9189011, -87.64717807)"
Thu,06/13/2019,Bartelme (Mary) Park,(312) 746-5962,Adventures in Babysitting,Y,PG-13,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"(41.87994748, -87.65066137)"
Mon,07/01/2019,Oakwood Beach,(312) 742-1134,Grease,Y,PG,,3900 S. Lake Shore Dr.,"(41.82588259, -87.60097185)"
Wed,07/24/2019,White (Willye B.) Park,(773) 262-5051,Aquaman,Y,PG-13,The Forest Preserve District of Cook County,7631 N. Ashland Ave.,"(42.02087112, -87.67057561)"
Sat,07/13/2019,Buttercup Playlot Park,(312) 742-7502,Napoleon Dynamite,Y,PG,,4901 N. Sheridan Rd.,"(41.97166865, -87.65473895)"
Fri,08/23/2019,Indian Road Park,(773) 631-3761,The Incredibles 2,Y,PG,,6010 W. Matson Ave.,"(41.99284157, -87.77835042)"
Fri,07/19/2019,Douglas Park Cultural and Community Center,(773) 762-2842,Little Shop of Horrors (1986),Y,PG-13,,1401 S. Sacramento Dr.,"(41.862904, -87.70186654)"
Fri,06/21/2019,Independence Park,(773) 478-3538,The Sandlot,Y,PG,,3945 N. Springfield Ave.,"(41.95322543, -87.72494811)"
Tue,06/25/2019,Bartelme (Mary) Park,(312) 746-5962,Wayne's World,Y,PG-13,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"(41.87994748, -87.65066137)"
Fri,08/09/2019,Chopin Park,(773) 685-3247,Trolls,Y,NR,,3420 N. Long Ave.,"(41.94291712, -87.76188146)"
Tue,08/20/2019,Bosley Playground Park,(312) 747-6026,The Incredibles 2,Y,PG,,3044 S. Bonfield St.,"(41.83922943, -87.6537317)"
Wed,06/19/2019,Museum of Science and Industry,(312) 742-1134,Back to the Future Part II,Y,PG,The Museum of Science & Industry,5700 S. Lake Shore Dr.,"(41.79142028, -87.58014777)"
Thu,08/01/2019,Chicago Women's Park and Gardens,(312) 328-0821,Jane Eyre (2011),Y,PG-13,"The Department of Cultural Affairs and Special Events, the Clarke House Museum, The National Society of The Colonial Dames of America, Glessner House and The Prairie District Neighborhood Alliance",1801 S. Indiana Ave.,"(41.85783824, -87.62218405)"
Sat,08/10/2019,Museum of Science and Industry,(312) 742-1134,Wonder Woman,Y,PG-13,The Museum of Science & Industry,5700 S. Lake Shore Dr.,"(41.79142028, -87.58014777)"
Sat,06/22/2019,West Chatham Park,(317) 747-6998,Black Panther,Y,PG-13,,8223 S. Princeton Ave.,"(41.74443787, -87.63156363)"
Mon,07/15/2019,Osterman Beach,(312) 742-1134,Singin' in the Rain,Y,G,,5800 N. Lake Shore Dr.,"(-87.6528859, 41.9863754)"
Thu,08/22/2019,Bartelme (Mary) Park,(312) 746-5962,Green Book,Y,PG-13,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"(41.87994748, -87.65066137)"
Fri,07/05/2019,Indian Boundary Park and Cultural Center,(773) 764-0338,Yankee Doodle Dandy,N,NR,,2500 W. Lunt Ave.,"(42.0087144, -87.69268958)"
Wed,07/17/2019,Harrison Park,(312) 746-5491,Not Quite Adults / Tampoco Tan Grandes,Y,NR,The International Latino Cultural Center,1824 S. Wood St.,"(41.85692162, -87.67122476)"
Thu,08/08/2019,Bartelme (Mary) Park,(312) 746-5962,Creed (2015),Y,PG-13,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"(41.87994748, -87.65066137)"
Fri,06/14/2019,Lindblom Park,(312) 747-6443,Creed II,Y,PG-13,,6054 S. Damen Ave.,"(41.78318436, -87.67415389)"
Sun,08/18/2019,Wallace Playground Park,(312) 747-6763,Creed II,Y,PG-13,,607 W. 92nd St.,"(41.72689281, -87.63883826)"
Fri,06/28/2019,Wentworth Park,(312) 747-6993,Ralph Breaks the Internet,Y,PG,,5625 S. Mobile Ave.,"(41.78970398, -87.7791043)"
Mon,08/12/2019,Belmont Harbor,(312) 742-1134,Meet Me In St. Louis,Y,NR,,3200 N. Lake Shore Dr.,"(41.94090916, -87.63936916)"
Fri,08/02/2019,Cornell Square Park,(312) 747-6097,Spider-Man: Into the Spider-Verse,Y,PG,,1809 W. 50th St.,"(41.8029812, -87.67011453)"
Sun,07/21/2019,Jonquil Playlot Park,(312) 742-7816,The Grinch,Y,PG,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"(41.92889597, -87.65385229)"
Fri,07/26/2019,Rutherford Sayre Park,(312) 746-5368,Mary Poppins Returns,Y,PG,,6871 W. Belden Ave.,"(41.92103326, -87.79791006)"
Wed,07/10/2019,Loyola Park,(773) 262-8605,The Gazelle's Dance / El Baile de la Gacela,Y,NR,The International Latino Cultural Center,1230 W. Greenleaf Ave.,"(42.01052218, -87.66130892)"
Tue,08/20/2019,Jensen Park,(312) 742-7054,Sherlock Gnomes,Y,PG,,4650 N. Lawndale Ave.,"(41.9661342, -87.72077765)"
Wed,07/17/2019,Brainerd Park,(312) 747-6027,Creed II,Y,PG-13,,1246 W. 92nd St.,"(41.72690254, -87.65494879)"
Wed,08/14/2019,Hamlin Park,(312) 742-7785,Smallfoot,Y,PG,,3035 N. Hoyne Ave.,"(41.93695733, -87.68055828)"
Sat,06/15/2019,Oz Park,(312) 742-7898,The Sandlot 2,Y,PG,The Oz Park Baseball Association,2021 N. Burling St.,"(41.9189011, -87.64717807)"
Mon,07/29/2019,Oakwood Beach,(312) 742-1134,Muppets Take Manhattan,Y,G,,3900 S. Lake Shore Dr.,"(41.82588259, -87.60097185)"
Wed,06/26/2019,Blackhawk Park,(312) 746-5014,The Incredibles 2,Y,PG,,2318 N. Lavergne Ave.,"(41.92293421, -87.7513379)"
Wed,07/31/2019,Piotrowski Park,(312) 745-4801,Tesoros,Y,G,The International Latino Cultural Center,4247 W. 31st St.,"(41.83669678, -87.73107269)"
Tue,07/09/2019,Trebes Park,(312) 742-7769,La Bolduc,Y,NR,The Cultural Service at the Consulate General of France,2250 N. Clifton Ave.,"(41.92317657, -87.65732331)"
Sat,07/27/2019,Park No. 564 - Big Marsh,(773) 646-0210,Captain Marvel,Y,PG-13,,11555 S. Stony Island Ave.,"(41.68482787, -87.57630433)"
Fri,07/19/2019,Piotrowski Park,(312) 745-4801,Spider-Man: Into the Spider-Verse,Y,PG,,4247 W. 31st St.,"(41.83669678, -87.73107269)"
Tue,06/11/2019,Donovan Playground Park,(312) 747-6111,Goosebumps 2,Y,PG,,3620 S.Lituanica Ave.,"(41.82797656, -87.64781283)"
Sat,08/24/2019,Euclid Park,(312) 747-6124,Aquaman,Y,PG-13,,9800 S. Parnell Ave.,"(41.71604187, -87.63714774)"
Sat,08/10/2019,Pendleton (Hadiya) Park,(312) 747-6707,Aquaman,Y,PG-13,,4345 S. Calumet Ave.,"(41.81524092, -87.61816658)"
Sat,06/22/2019,Sauganash Park,(773) 685-6122,Ralph Breaks the Internet,Y,PG,The Edgebrook Sauganash Athletic Association,5861 N. Kostner Ave.,"(41.98806928, -87.73816907)"
Sun,06/23/2019,Brooks Park,(773) 631-4401,Mary Poppins Returns,Y,PG,The Edison Park Chamber of Commerce,7100 N. Harlem Ave.,"(42.00994549, -87.80680465)"
Mon,08/05/2019,South Shore Cultural Center,(773) 256-0149,A Wrinkle in Time,Y,PG,,7059 S. South Shore Drive,"(41.76660302, -87.56632372)"
Thu,06/27/2019,Austin Town Hall,(773) 287-7658,Black Panther,Y,PG-13,,5610 W. Lake St.,"(41.88784692, -87.76559245)"
Fri,08/09/2019,Palmer Park,(312) 747-6577,Jumanji: Welcome to the Jungle,Y,PG-13,,201 E. 111th St.,"(41.69254319, -87.61813446)"
Fri,07/05/2019,Augusta Park,(312) 742-7544,Aquaman,Y,PG-13,,4433 W. Augusta Blvd.,"(41.8987269, -87.73738695)"
Fri,08/16/2019,Ada Park,(312) 747-6002,Rampage,Y,PG-13,,11250 S. Ada St.,"(41.68856983, -87.65578778)"
Tue,06/18/2019,Kedvale Park,(312) 742-7543,Spider-Man: Into the Spider-Verse,Y,PG,,4134 W. Hirsch St.,"(41.90634312, -87.73022479)"
Wed,08/14/2019,Sheridan Park,(312) 746-5369,Moana,Y,PG,,910 S. Aberdeen St.,"(41.87032717, -87.65439381)"
Mon,08/19/2019,South Shore Cultural Center,(773) 256-0149,Spider-Man: Into the Spider-Verse,Y,PG,South Shore Cultural Center,7059 S. South Shore Drive,"(41.76660302, -87.56632372)"
Thu,06/20/2019,Archer Park,(773) 284-7029,Smallfoot,Y,PG,,4901 S.Kilbourn Ave.,"(41.80391551, -87.73556627)"
Wed,06/26/2019,Lincoln Park Cultural Center,(312) 742-7726,Galaxy Quest,Y,PG,,2045 N. Lincoln Park West,"(41.91983669, -87.63624578)"
Mon,07/01/2019,Calumet Park,(312) 747-6039,Spider-Man: Into the Spider-Verse,Y,PG,,9801 S. Ave G,"(41.71772004, -87.53150812)"
Thu,07/25/2019,Columbus Park,(773) 287-7641,Aquaman,Y,PG-13,,500 S. Central Ave.,"(41.87377325, -87.7647697)"
Sat,08/24/2019,Chicago Women's Park and Gardens,(312) 328-0821,First Man,Y,PG-13,The Prairie District Neighborhood Alliance,1801 S. Indiana Ave.,"(41.85783824, -87.62218405)"
Fri,06/21/2019,Gladstone Park,(773) 631-7859,Ralph Breaks the Internet,Y,PG,,5421 N. Menard Ave.,"(41.97910458, -87.77310817)"
Mon,07/08/2019,Daniel Webster Park,(312) 745-1479,Peter Rabbit,Y,PG,The Greater South Loop Association,1357 S. Indiana Ave.,"(41.86427432, -87.62233575)"
Sat,06/15/2019,DuSable Museum of African American History,(312) 742-1134,Freedom Song,Y,NR,,740 E. 56th Pl.,"(41.79248002, -87.60685252)"
Sat,06/29/2019,Belmont Harbor,(312) 742-1134,Breathless / A Bout De Souffle,Y,NR,The Cultural Service at the Consulate General of France,3200 N. Lake Shore Dr.,"(41.94090916, -87.63936916)"
Sat,08/03/2019,Rowan Park,(773) 646-3180,Monsters University,Y,G,,11546 S. Avenue L,"(41.68500208, -87.53661565)"
Fri,06/28/2019,Carver Park,(312) 747-6047,Spider-Man: Into the Spider-Verse,Y,PG,The Forest Preserve District of Cook County,939 E. 132nd St.,"(41.65592462, -87.59906439)"
Fri,08/16/2019,Hermosa Park,(312) 742-7540,Aquaman,Y,PG-13,,2240 N. Kilbourn Ave.,"(41.92192999, -87.73907239)"
Sat,07/13/2019,Chicago Women's Park and Gardens,(312) 328-0821,Dunkirk,Y,PG-13,The Prairie District Neighborhood Alliance,1801 S. Indiana Ave.,"(41.85783824, -87.62218405)"
Fri,08/09/2019,Bessemer Park,(312) 747-6023,Spider-Man: Into the Spider-Verse,Y,PG,,8930 S. Muskegon Ave.,"(41.7327341, -87.55561477)"
Sat,08/17/2019,Winnemac Park,(312) 742-5101,Spider-Man: Into the Spider-Verse,Y,PG,Friends of Winnemac Park,5100 N. Leavitt St,"(41.97406708, -87.68437099)"
Tue,08/13/2019,Welles Park,(312) 742-7511,Footloose (1984),Y,PG,,2333 W. Sunnyside Ave.,"(41.96304075, -87.68773712)"
Tue,07/23/2019,Kosciuszko Park,(312) 742-7546,Black Panther,Y,PG-13,The Kosciuszko Park Advisory Council,2732 N. Avers Ave.,"(41.9310234, -87.72343588)"
Fri,07/12/2019,Adams Playground Park,(312) 742-7787,Mary Poppins Returns,Y,PG,,1919 N. Seminary Ave.,"(41.91669986, -87.65522827)"
Wed,07/10/2019,La Follette Park,(773) 287-0541,Spider-Man: Into the Spider-Verse,Y,PG,,1333 N. Laramie Ave.,"(41.90505469, -87.75569246)"
Thu,06/13/2019,Wicker Park,(312) 742-7553,Stardust,Y,PG-13,The Wicker Park Bucktown Chamber of Commerce Members and the Wicker Park Advisory Council,1425 N. Damen Avenue,"(41.90795225, -87.67724924)"
Tue,06/25/2019,Hamilton Park,(312) 747-6174,Jurassic World: Fallen Kingdom,Y,PG-13,,513 W. 72nd St.,"(41.76337465, -87.6376201)"
Wed,07/17/2019,Kilbourn Park,(773) 685-3351,Goonies,Y,PG,,3501 N. Kilbourn Ave.,"(41.94450485, -87.73951111)"
Sat,09/07/2019,Buttercup Playlot Park,(312) 742-7502,After School Cartoons,N,NR,,4901 N. Sheridan Rd.,"(41.97166865, -87.65473895)"
Fri,07/19/2019,Independence Park,(773) 478-3538,Spider-Man: Into the Spider-Verse,Y,PG,,3945 N. Springfield Ave.,"(41.95322543, -87.72494811)"
Fri,08/02/2019,Clark (Richard) Playlot Park,(773) 248-3966,Crazy Rich Asians,Y,PG-13,,3400 N. Rockwell St.,"(41.94305204, -87.69384443)"
Mon,07/15/2019,Harold Washington Playlot Park,(312) 747-6620,Isle of Dogs,Y,PG-13,,5200 S. Hyde Park Blvd.,"(41.80047033, -87.58450476)"
Fri,07/05/2019,Kelly Park,(312) 747-6197,Ralph Breaks the Internet,Y,PG,,2725 W. 41st St.,"(41.81918844, -87.69340844)"
Wed,08/07/2019,Senn Playlot Park,(312) 742-7502,Ralph Breaks the Internet,Y,PG,,5887 N. Ridge Ave.,"(41.98893587, -87.66850696)"
Thu,08/22/2019,Churchill Field Playlot Park,(312) 742-7554,Ralph Breaks the Internet,Y,PG,The Bucktown Community Organization,1825 N. Damen Ave.,"(41.9146579, -87.67740738)"
Sat,07/20/2019,Horner Park,(773) 478-3499,E. T. the Extra-Terrestrial,Y,PG,The Hornrer Park Advisory Council,2741 W. Montrose Ave.,"(41.9611441, -87.69770153)"
Tue,07/30/2019,Fuller Park,(312) 747-6144,Spider-Man: Into the Spider-Verse,Y,PG,The Forest Preserve District of Cook County,331 W. 45th St,"(41.81238512, -87.63479837)"
Wed,07/31/2019,Union Park,(312) 746-5494,The Incredibles 2,Y,PG,The West Loop Community Organization,1501 W. Randolph St.,"(41.88471128, -87.66428183)"
Tue,06/11/2019,Ward (A. Montgomery) Park,(312) 742-7895,Crazy Rich Asians,Y,PG-13,The River North Resident's Association,630 N. Kingsbury St.,"(41.893015, -87.64125791)"
Thu,07/11/2019,Wicker Park,(312) 742-7553,Les Miserables (1998),Y,PG-13,The Wormhole Coffee,1425 N. Damen Avenue,"(41.90795225, -87.67724924)"
Sun,08/11/2019,Jonquil Playlot Park,(312) 742-7816,Ralph Breaks the Internet,Y,PG,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"(41.92889597, -87.65385229)"
Sun,06/23/2019,Jonquil Playlot Park,(312) 742-7816,Guardians of the Galaxy,Y,PG-13,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"(41.92889597, -87.65385229)"
Fri,08/09/2019,Veteran's Memorial Park,(312) 747-6812,Ralph Breaks the Internet,Y,PG,,2820 E. 98th St.,"(41.71739698, -87.55556913)"
Mon,09/09/2019,South Shore Cultural Center,(773) 256-0149,Robin Hood,Y,PG-13,South Shore Cultural Center,7059 S. South Shore Drive,"(41.76660302, -87.56632372)"
Tue,07/23/2019,Churchill Field Playlot Park,(312) 742-7554,The Sting,Y,PG,The Bucktown Community Organization,1825 N. Damen Ave.,"(41.9146579, -87.67740738)"
Fri,07/26/2019,Portage Park,(773) 685-7235,Mary Poppins Returns,Y,PG,,4100 N. Long Ave.,"(41.95510787, -87.76228458)"
Tue,08/20/2019,Ward (A. Montgomery) Park,(312) 742-7895,The Incredibles 2,Y,PG,The River North Resident's Association,630 N. Kingsbury St.,"(41.893015, -87.64125791)"
Sat,08/03/2019,Sauganash Park,(773) 685-6122,The LEGO Movie 2,Y,PG,The Sauganash Community Association,5861 N. Kostner Ave.,"(41.98806928, -87.73816907)"
Thu,06/27/2019,Wicker Park,(312) 742-7553,Romeo + Juliet,Y,PG-13,The Wormhole Coffee,1425 N. Damen Avenue,"(41.90795225, -87.67724924)"
Tue,07/02/2019,Ridge Park,(312) 747-6640,Jaws,Y,PG,,1817 W. 96th Street,"(41.71920815, -87.66823047)"
Tue,06/18/2019,Roberts Square Playlot Park,(773) 685-3316,The Rugrats Movie (1998),Y,G,,5230 W. Argyle St.,"(41.97166987, -87.75892379)"
Tue,08/06/2019,McGuane Park,(312) 747-6497,Coco,Y,PG,,2901 S. Poplar Ave.,"(41.84134899, -87.64950769)"
Tue,07/16/2019,West Lawn Park,(773) 284-2803,Mary Poppins Returns,Y,PG,St. Nicholas of Tolentine School,4233 W. 65th St.,"(41.77486501, -87.72884225)"
Fri,06/28/2019,Osterman Beach,(312) 742-1134,That Thing You Do!,Y,PG,,5800 N. Lake Shore Dr.,"(-87.6528859, 41.9863754)"
Sat,07/06/2019,O'Hallaren Park,(312) 747-6573,Coco,Y,PG,,8335 S. Honore St.,"(41.74194234, -87.66914926)"
Thu,08/22/2019,Garfield Park,(312) 746-5092,The Princess and the Frog,Y,G,,100 N. Central Park Ave.,"(41.88335532, -87.71566523)"
Thu,08/15/2019,Davis Square Park,(312) 747-6107,Teen Titans Go! To The Movies,Y,PG-13,,4430 S. Marshfield Ave.,"(41.81310599, -87.66646688)"
Fri,08/16/2019,Independence Park,(773) 478-3538,Bohemian Rhapsody,Y,PG-13,,3945 N. Springfield Ave.,"(41.95322543, -87.72494811)"
Mon,06/17/2019,Grant Park: Logan Monument,(312) 742-1134,Chicago,Y,PG-13,,900 S. Michigan Ave.,"(41.87055847, -87.62428661)"
Sat,07/27/2019,Mamie Till-Mobley Park,(312) 747-7661,Coco,Y,PG,,6404 S. Ellis Ave.,"(41.77835204, -87.60055506)"
Sat,06/22/2019,Pulaski Park,(312) 742-7559,Guardians of the Galaxy,Y,PG-13,The Museum of Science and Industry,1419 W. Blackhawk St.,"(41.90693712, -87.66360239)"
Wed,06/12/2019,Brands Park,(773) 478-2414,Moana,Y,PG,,3259 N. Elston Ave.,"(41.94059875, -87.69986095)"
Wed,08/07/2019,Kelvyn Park,(312) 742-7547,What I Feel for You / Lo Que Siento Por Ti,Y,NR,The International Latino Cultural Center,4438 W. Wrightwood Ave.,"(41.92875053, -87.73827846)"
Fri,06/14/2019,Shedd Park,(773) 762-3168,Night School,Y,PG-13,,3660 W. 23rd St.,"(41.84992518, -87.71735905)"
Tue,07/09/2019,Kells Playground Park,(312) 742-7544,Spider-Man: Into the Spider-Verse,Y,PG,Bickerdike Redevelopment Corp.,3201 W. Chicago Ave.,"(41.89544308, -87.7066155)"
Wed,08/14/2019,La Villita Park,(312) 747-6608,Turbo,Y,PG,,2800 S. Sacramento Blvd.,"(41.8408764, -87.70018045)"
Sat,08/03/2019,Ogden Park,(312) 747-6572,Ralph Breaks the Internet,Y,PG,,6500 S. Racine Ave.,"(41.77588058, -87.65454639)"
Wed,06/26/2019,La Villita Park,(312) 747-6608,The House with a Clock in its Walls,Y,PG,,2800 S. Sacramento Blvd.,"(41.8408764, -87.70018045)"
Thu,07/18/2019,Bartelme (Mary) Park,(312) 746-5962,Space Jam,Y,PG,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"(41.87994748, -87.65066137)"
Sat,07/13/2019,Oz Park,(312) 742-7898,Ghostbusters (1984),Y,PG,The Oz Park Advisory Council,2021 N. Burling St.,"(41.9189011, -87.64717807)"
Sat,08/24/2019,Buttercup Playlot Park,(312) 742-7502,Spider-Man: Into the Spider-Verse,Y,PG,,4901 N. Sheridan Rd.,"(41.97166865, -87.65473895)"
Fri,07/19/2019,Paschen Park,(773) 262-5871,Ant-Man and the Wasp,Y,PG-13,,1932 W. Lunt Ave.,"(42.00900097, -87.67923602)"
Tue,06/25/2019,Ward (A. Montgomery) Park,(312) 742-7895,Black Panther,Y,PG-13,The River North Resident's Association,630 N. Kingsbury St.,"(41.893015, -87.64125791)"
Thu,06/20/2019,Wilson (John P.) Park,(312) 747-7002,The LEGO Movie 2,Y,PG,,1122 W. 34th Pl.,"(41.83167213, -87.65436337)"
Thu,08/08/2019,Washtenaw Park,(312) 747-4420,Avengers: Infinity War,Y,PG-13,,2521 S. Washtenaw Ave.,"(41.84577829, -87.69267681)"
