"name","height","mass","hair_color","skin_color","eye_color","birth_year","sex","gender","homeworld","species","films","vehicles","starships"
"Chewbacca","228","112","brown","unknown","blue","200","male","masculine","Kashyyyk","Wookiee","c(""The Empire Strikes Back"", ""Revenge of the Sith"", ""Return of the Jedi"", ""A New Hope"", ""The Force Awakens"")","AT-ST","c(""Millennium Falcon"", ""Imperial shuttle"")"
"Han Solo","180","80","brown","fair","brown","29","male","masculine","Corellia","Human","c(""The Empire Strikes Back"", ""Return of the Jedi"", ""A New Hope"", ""The Force Awakens"")","character(0)","c(""Millennium Falcon"", ""Imperial shuttle"")"
"Greedo","173","74",NA,"green","black","44","male","masculine","Rodia","Rodian","A New Hope","character(0)","character(0)"
"Jabba Desilijic Tiure","175","1358",NA,"green-tan, brown","orange","600","hermaphroditic","masculine","Nal Hutta","Hutt","c(""The Phantom Menace"", ""Return of the Jedi"", ""A New Hope"")","character(0)","character(0)"
"Wedge Antilles","170","77","brown","fair","hazel","21","male","masculine","Corellia","Human","c(""The Empire Strikes Back"", ""Return of the Jedi"", ""A New Hope"")","Snowspeeder","X-wing"
"Jek Tono Porkins","180","110","brown","fair","blue","NA","male","masculine","Bestine IV","Human","A New Hope","character(0)","X-wing"
"Yoda","66","17","white","green","brown","896","male","masculine",NA,"Yoda's species","c(""The Empire Strikes Back"", ""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"", ""Return of the Jedi"")","character(0)","character(0)"
"Palpatine","170","75","grey","pale","yellow","82","male","masculine","Naboo","Human","c(""The Empire Strikes Back"", ""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"", ""Return of the Jedi"")","character(0)","character(0)"
"Boba Fett","183","78.2","black","fair","brown","31.5","male","masculine","Kamino","Human","c(""The Empire Strikes Back"", ""Attack of the Clones"", ""Return of the Jedi"")","character(0)","Slave 1"
"IG-88","200","140","none","metal","red","15","none","masculine",NA,"Droid","The Empire Strikes Back","character(0)","character(0)"
"Bossk","190","113","none","green","red","53","male","masculine","Trandosha","Trandoshan","The Empire Strikes Back","character(0)","character(0)"
"Lando Calrissian","177","79","black","dark","brown","31","male","masculine","Socorro","Human","c(""The Empire Strikes Back"", ""Return of the Jedi"")","character(0)","Millennium Falcon"
"Lobot","175","79","none","light","blue","37","male","masculine","Bespin","Human","The Empire Strikes Back","character(0)","character(0)"
"Ackbar","180","83","none","brown mottle","orange","41","male","masculine","Mon Cala","Mon Calamari","c(""Return of the Jedi"", ""The Force Awakens"")","character(0)","character(0)"
"Mon Mothma","150","NA","auburn","fair","blue","48","female","feminine","Chandrila","Human","Return of the Jedi","character(0)","character(0)"
"Arvel Crynyd","NA","NA","brown","fair","brown","NA","male","masculine",NA,"Human","Return of the Jedi","character(0)","A-wing"
"Wicket Systri Warrick","88","20","brown","brown","brown","8","male","masculine","Endor","Ewok","Return of the Jedi","character(0)","character(0)"
"Nien Nunb","160","68","none","grey","black","NA","male","masculine","Sullust","Sullustan","Return of the Jedi","character(0)","Millennium Falcon"
"Qui-Gon Jinn","193","89","brown","fair","blue","92","male","masculine",NA,"Human","The Phantom Menace","Tribubble bongo","character(0)"
"Nute Gunray","191","90","none","mottled green","red","NA","male","masculine","Cato Neimoidia","Neimodian","c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")","character(0)","character(0)"
"Finis Valorum","170","NA","blond","fair","blue","91","male","masculine","Coruscant","Human","The Phantom Menace","character(0)","character(0)"
"Jar Jar Binks","196","66","none","orange","orange","52","male","masculine","Naboo","Gungan","c(""Attack of the Clones"", ""The Phantom Menace"")","character(0)","character(0)"
"Roos Tarpals","224","82","none","grey","orange","NA","male","masculine","Naboo","Gungan","The Phantom Menace","character(0)","character(0)"
"Rugor Nass","206","NA","none","green","orange","NA","male","masculine","Naboo","Gungan","The Phantom Menace","character(0)","character(0)"
"Ric Olié","183","NA","brown","fair","blue","NA",NA,NA,"Naboo",NA,"The Phantom Menace","character(0)","Naboo Royal Starship"
"Watto","137","NA","black","blue, grey","yellow","NA","male","masculine","Toydaria","Toydarian","c(""Attack of the Clones"", ""The Phantom Menace"")","character(0)","character(0)"
"Sebulba","112","40","none","grey, red","orange","NA","male","masculine","Malastare","Dug","The Phantom Menace","character(0)","character(0)"
"Quarsh Panaka","183","NA","black","dark","brown","62",NA,NA,"Naboo",NA,"The Phantom Menace","character(0)","character(0)"
"Shmi Skywalker","163","NA","black","fair","brown","72","female","feminine","Tatooine","Human","c(""Attack of the Clones"", ""The Phantom Menace"")","character(0)","character(0)"
"Darth Maul","175","80","none","red","yellow","54","male","masculine","Dathomir","Zabrak","The Phantom Menace","Sith speeder","Scimitar"
"Bib Fortuna","180","NA","none","pale","pink","NA","male","masculine","Ryloth","Twi'lek","Return of the Jedi","character(0)","character(0)"
"Ayla Secura","178","55","none","blue","hazel","48","female","feminine","Ryloth","Twi'lek","c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")","character(0)","character(0)"
"Dud Bolt","94","45","none","blue, grey","yellow","NA","male","masculine","Vulpter","Vulptereen","The Phantom Menace","character(0)","character(0)"
"Gasgano","122","NA","none","white, blue","black","NA","male","masculine","Troiken","Xexto","The Phantom Menace","character(0)","character(0)"
"Ben Quadinaros","163","65","none","grey, green, yellow","orange","NA","male","masculine","Tund","Toong","The Phantom Menace","character(0)","character(0)"
"Mace Windu","188","84","none","dark","brown","72","male","masculine","Haruun Kal","Human","c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")","character(0)","character(0)"
"Ki-Adi-Mundi","198","82","white","pale","yellow","92","male","masculine","Cerea","Cerean","c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")","character(0)","character(0)"
"Kit Fisto","196","87","none","green","black","NA","male","masculine","Glee Anselm","Nautolan","c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")","character(0)","character(0)"
"Eeth Koth","171","NA","black","brown","brown","NA","male","masculine","Iridonia","Zabrak","c(""The Phantom Menace"", ""Revenge of the Sith"")","character(0)","character(0)"
"Adi Gallia","184","50","none","dark","blue","NA","female","feminine","Coruscant","Tholothian","c(""The Phantom Menace"", ""Revenge of the Sith"")","character(0)","character(0)"
"Saesee Tiin","188","NA","none","pale","orange","NA","male","masculine","Iktotch","Iktotchi","c(""The Phantom Menace"", ""Revenge of the Sith"")","character(0)","character(0)"
"Yarael Poof","264","NA","none","white","yellow","NA","male","masculine","Quermia","Quermian","The Phantom Menace","character(0)","character(0)"
"Plo Koon","188","80","none","orange","black","22","male","masculine","Dorin","Kel Dor","c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")","character(0)","Jedi starfighter"
"Mas Amedda","196","NA","none","blue","blue","NA","male","masculine","Champala","Chagrian","c(""Attack of the Clones"", ""The Phantom Menace"")","character(0)","character(0)"
"Gregar Typho","185","85","black","dark","brown","NA","male","masculine","Naboo","Human","Attack of the Clones","character(0)","Naboo fighter"
"Cordé","157","NA","brown","light","brown","NA","female","feminine","Naboo","Human","Attack of the Clones","character(0)","character(0)"
"Cliegg Lars","183","NA","brown","fair","blue","82","male","masculine","Tatooine","Human","Attack of the Clones","character(0)","character(0)"
"Poggle the Lesser","183","80","none","green","yellow","NA","male","masculine","Geonosis","Geonosian","c(""Attack of the Clones"", ""Revenge of the Sith"")","character(0)","character(0)"
"Luminara Unduli","170","56.2","black","yellow","blue","58","female","feminine","Mirial","Mirialan","c(""Attack of the Clones"", ""Revenge of the Sith"")","character(0)","character(0)"
"Barriss Offee","166","50","black","yellow","blue","40","female","feminine","Mirial","Mirialan","Attack of the Clones","character(0)","character(0)"
"Dormé","165","NA","brown","light","brown","NA","female","feminine","Naboo","Human","Attack of the Clones","character(0)","character(0)"
"Dooku","193","80","white","fair","brown","102","male","masculine","Serenno","Human","c(""Attack of the Clones"", ""Revenge of the Sith"")","Flitknot speeder","character(0)"
"Bail Prestor Organa","191","NA","black","tan","brown","67","male","masculine","Alderaan","Human","c(""Attack of the Clones"", ""Revenge of the Sith"")","character(0)","character(0)"
"Jango Fett","183","79","black","tan","brown","66","male","masculine","Concord Dawn","Human","Attack of the Clones","character(0)","character(0)"
"Zam Wesell","168","55","blonde","fair, green, yellow","yellow","NA","female","feminine","Zolan","Clawdite","Attack of the Clones","Koro-2 Exodrive airspeeder","character(0)"
"Dexter Jettster","198","102","none","brown","yellow","NA","male","masculine","Ojom","Besalisk","Attack of the Clones","character(0)","character(0)"
"Lama Su","229","88","none","grey","black","NA","male","masculine","Kamino","Kaminoan","Attack of the Clones","character(0)","character(0)"
"Taun We","213","NA","none","grey","black","NA","female","feminine","Kamino","Kaminoan","Attack of the Clones","character(0)","character(0)"
"Jocasta Nu","167","NA","white","fair","blue","NA","female","feminine","Coruscant","Human","Attack of the Clones","character(0)","character(0)"
"Ratts Tyerell","79","15","none","grey, blue","unknown","NA","male","masculine","Aleen Minor","Aleena","The Phantom Menace","character(0)","character(0)"
"R4-P17","96","NA","none","silver, red","red, blue","NA","none","feminine",NA,"Droid","c(""Attack of the Clones"", ""Revenge of the Sith"")","character(0)","character(0)"
"Wat Tambor","193","48","none","green, grey","unknown","NA","male","masculine","Skako","Skakoan","Attack of the Clones","character(0)","character(0)"
"San Hill","191","NA","none","grey","gold","NA","male","masculine","Muunilinst","Muun","Attack of the Clones","character(0)","character(0)"
"Shaak Ti","178","57","none","red, blue, white","black","NA","female","feminine","Shili","Togruta","c(""Attack of the Clones"", ""Revenge of the Sith"")","character(0)","character(0)"
"Grievous","216","159","none","brown, white","green, yellow","NA","male","masculine","Kalee","Kaleesh","Revenge of the Sith","Tsmeu-6 personal wheel bike","Belbullab-22 starfighter"
"Tarfful","234","136","brown","brown","blue","NA","male","masculine","Kashyyyk","Wookiee","Revenge of the Sith","character(0)","character(0)"
"Raymus Antilles","188","79","brown","light","brown","NA","male","masculine","Alderaan","Human","c(""Revenge of the Sith"", ""A New Hope"")","character(0)","character(0)"
"Sly Moore","178","48","none","pale","white","NA",NA,NA,"Umbara",NA,"c(""Attack of the Clones"", ""Revenge of the Sith"")","character(0)","character(0)"
"Tion Medon","206","80","none","grey","black","NA","male","masculine","Utapau","Pau'an","Revenge of the Sith","character(0)","character(0)"
"Finn","NA","NA","black","dark","dark","NA","male","masculine",NA,"Human","The Force Awakens","character(0)","character(0)"
"Rey","NA","NA","brown","light","hazel","NA","female","feminine",NA,"Human","The Force Awakens","character(0)","character(0)"
"Poe Dameron","NA","NA","brown","light","brown","NA","male","masculine",NA,"Human","The Force Awakens","character(0)","T-70 X-wing fighter"
"BB8","NA","NA","none","none","black","NA","none","masculine",NA,"Droid","The Force Awakens","character(0)","character(0)"
"Captain Phasma","NA","NA","unknown","unknown","unknown","NA",NA,NA,NA,NA,"The Force Awakens","character(0)","character(0)"
"Padmé Amidala","165","45","brown","light","brown","46","female","feminine","Naboo","Human","c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")","character(0)","c(""H-type Nubian yacht"", ""Naboo star skiff"", ""Naboo fighter"")"
