ADDRESS,FIRST APPROACH,SECOND APPROACH,GO-LIVE DATE,LATITUDE,LONGITUDE,LOCATION,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
5428 S Pulaski (Speed Camera),SB,,02/07/2014,41.7941545839503,-87.72333321258739,"{'latitude': '41.7941545839503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72333321258739'}",35,22248,60,793,6
2443 N Ashland (Speed Camera),SB,,01/25/2014,41.926418831263994,-87.66804246498943,"{'latitude': '41.926418831263994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.66804246498943'}",16,21190,68,770,40
3047 W Jackson Blvd (Speed Camera),EB,WB,03/17/2014,41.877242773826396,-87.7029526885659,"{'latitude': '41.877242773826396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.7029526885659'}",11,21184,28,737,23
2917 W Roosevelt (Speed Camera),EB,,10/05/2013,41.866364024167034,-87.69914296647906,"{'latitude': '41.866364024167034', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.69914296647906'}",36,21569,30,132,14
4929 S Pulaski (Speed Camera),NB,,01/31/2014,41.80326489471,-87.72330350914287,"{'latitude': '41.80326489471', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72330350914287'}",49,22248,54,698,8
3843 W 111th (Speed Camera),EB,WB,01/13/2014,41.69120239624487,-87.71721139909997,"{'latitude': '41.69120239624487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.71721139909997'}",33,4447,73,264,42
7157 S South Chicago Ave (Speed Camera),NWB,,08/20/2018,41.764716,-87.603742,"{'latitude': '41.764716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.603742'}",32,21546,67,121,33
3832 W 79th St (Speed Camera),EB,,02/10/2014,41.749715176851936,-87.71959877920995,"{'latitude': '41.749715176851936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.71959877920995'}",6,4300,69,571,30
2550 W 79th (Speed Camera),WB,,12/18/2013,41.75021259302275,-87.6874210628529,"{'latitude': '41.75021259302275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.6874210628529'}",6,4300,69,498,30
3130 N Ashland Ave (Speed Camera),EB,,09/26/2014,41.93880546751142,-87.66877877931208,"{'latitude': '41.93880546751142', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.66877877931208'}",16,4449,57,711,40
2721 W Montrose (Speed Camera),EB,WB,11/15/2013,41.96114938287925,-87.69696403378589,"{'latitude': '41.96114938287925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.69696403378589'}",2,21538,16,214,20
3655 W Jackson Blvd (Speed Camera),EB,WB,09/10/2013,41.87707082846323,-87.71816831641307,"{'latitude': '41.87707082846323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.71816831641307'}",11,21572,28,704,23
6443 W Belmont (Speed Camera),EB,,03/10/2014,41.938181258548575,-87.78765548502582,"{'latitude': '41.938181258548575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.78765548502582'}",39,22254,19,137,44
2440 W 51st St (Speed Camera),WB,,02/24/2014,41.80123574797641,-87.68589577919322,"{'latitude': '41.80123574797641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68589577919322'}",49,22248,61,763,8
449 N Columbus Dr (Speed Camera),NB,,05/18/2014,41.89003775504898,-87.62017903427099,"{'latitude': '41.89003775504898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.62017903427099'}",22,21182,37,159,36
2335 W Cermak (Speed Camera),EB,,03/03/2014,41.85192952334165,-87.68464766256305,"{'latitude': '41.85192952334165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68464766256305'}",8,14920,33,204,26
3230 N Milwaukee Ave (Speed Camera),NB,SB,04/08/2014,41.93969900713657,-87.72507433916897,"{'latitude': '41.93969900713657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72507433916897'}",7,21538,22,138,21
115 N Ogden (Speed Camera),NB,SB,01/25/2014,41.883191521391076,-87.66411469955516,"{'latitude': '41.883191521391076', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.66411469955516'}",41,14917,29,63,46
4045 W 55th (Speed Camera),EB,,02/07/2014,41.79307966774864,-87.72495665631904,"{'latitude': '41.79307966774864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72495665631904'}",23,22248,60,773,15
1635 N Ashland (Speed Camera),NB,,03/03/2014,41.91168401599584,-87.66757342998466,"{'latitude': '41.91168401599584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.66757342998466'}",24,21560,25,109,40
6330 S Martin Luther King Dr (Speed Camera),NB,SB,09/24/2014,41.779286,-87.616054,"{'latitude': '41.779286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.616054'}",53,22260,67,122,4
3851 W 79th St (Speed Camera),WB,,02/10/2014,41.74937090787529,-87.71910467544157,"{'latitude': '41.74937090787529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.71910467544157'}",6,4300,69,199,30
1110 S Pulaski Rd (Speed Camera),SB,,09/05/2014,41.86760272243294,-87.7253827433152,"{'latitude': '41.86760272243294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.7253827433152'}",36,21572,30,98,14
450 N Columbus Dr (Speed Camera),SB,,05/18/2014,41.890122352505166,-87.62041639513696,"{'latitude': '41.890122352505166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.62041639513696'}",22,21182,37,159,36
8043 W Addison St (Speed Camera),,EB,07/16/2018,41.944928,-87.827727,"{'latitude': '41.944928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.827727'}",39,22254,17,413,19
6514 W Belmont (Speed Camera),WB,,03/10/2014,41.93837715933998,-87.78911871294291,"{'latitude': '41.93837715933998', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.78911871294291'}",39,22254,17,396,44
57 E 95th St (Speed Camera),WB,,10/12/2013,41.72165713317433,-87.62146289865515,"{'latitude': '41.72165713317433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.62146289865515'}",31,21546,45,567,43
2448 N Clybourn Ave (Speed Camera),NB,SB,03/28/2014,41.926153342916486,-87.67093808722792,"{'latitude': '41.926153342916486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.67093808722792'}",16,21190,68,743,40
3115 N Narragansett (Speed Camera),NB,,03/10/2014,41.93695084197675,-87.78574089058974,"{'latitude': '41.93695084197675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.78574089058974'}",39,22254,19,81,44
4707 W Peterson Ave (Speed Camera),WB,,03/17/2014,41.98980766908236,-87.74622580384673,"{'latitude': '41.98980766908236', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.74622580384673'}",28,22532,12,713,38
6909 S Kedzie Ave (Speed Camera),NB,,09/06/2013,41.76773186901884,-87.70273790708362,"{'latitude': '41.76773186901884', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.70273790708362'}",6,21867,64,383,31
4909 N Cicero Ave (Speed Camera),SB,NB,09/18/2014,41.970134735816295,-87.7477237971432,"{'latitude': '41.970134735816295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.7477237971432'}",28,21869,14,751,38
3521 N Western (Speed Camera),NB,,01/31/2014,41.945574090874274,-87.68807785258112,"{'latitude': '41.945574090874274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68807785258112'}",13,21538,46,646,18
2603 W 79th (Speed Camera),EB,,01/08/2014,41.74985294026319,-87.68798347502599,"{'latitude': '41.74985294026319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68798347502599'}",6,4300,69,243,30
3137 W Peterson (Speed Camera),EB,WB,01/03/2014,41.9902819135942,-87.70824462568225,"{'latitude': '41.9902819135942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.70824462568225'}",46,4450,20,65,24
1440 W Cermak Rd (Speed Camera),WB,EB,09/02/2014,41.85250180995818,-87.66281031843234,"{'latitude': '41.85250180995818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.66281031843234'}",8,14920,33,365,26
5446 W Fullerton (Speed Camera),WB,,12/12/2013,41.92412849125162,-87.76299399881007,"{'latitude': '41.92412849125162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.76299399881007'}",27,22615,19,80,21
4319 W 47th St(Speed Camera),EB,,08/27/2018,41.807645,-87.731753,"{'latitude': '41.807645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.731753'}",35,22248,54,697,8
515 S Central Ave (Speed Camera),NB,,04/14/2014,41.873329240103914,-87.76446041521123,"{'latitude': '41.873329240103914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.76446041521123'}",52,22216,26,68,7
3535 E 95th St (Speed Camera),EB,,06/30/2014,41.722818322421595,-87.53756746533104,"{'latitude': '41.722818322421595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.53756746533104'}",47,21202,49,528,47
341 W 76th St (Speed Camera),EB,,04/30/2014,41.756158269344546,-87.6335862634599,"{'latitude': '41.756158269344546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.6335862634599'}",17,21554,67,495,31
4042 W North Ave (Speed Camera),WB,,11/09/2015,41.90997242450237,-87.72805040969816,"{'latitude': '41.90997242450237', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72805040969816'}",27,22615,24,285,49
1117 S Pulaski Rd (Speed Camera),NB,,09/05/2014,41.867401834997956,-87.72508368792016,"{'latitude': '41.867401834997956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72508368792016'}",36,21572,30,98,14
5529 S Western (Speed Camera),SB,,11/23/2013,41.79252199331773,-87.68385704739886,"{'latitude': '41.79252199331773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68385704739886'}",19,22257,61,112,3
6523 N Western (Speed Camera),NB,SB,11/10/2013,42.00025951144952,-87.68980290863908,"{'latitude': '42.00025951144952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68980290863908'}",42,22528,20,320,27
4040 W 55th (Speed Camera),WB,,02/07/2014,41.79330051203649,-87.72479036232271,"{'latitude': '41.79330051203649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72479036232271'}",35,22248,60,793,6
14 W Chicago Ave (Speed Camera),EB,,04/29/2014,41.89677912747405,-87.6287812485988,"{'latitude': '41.89677912747405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.6287812485988'}",22,4446,37,230,11
1901 E 75th St (Speed Camera),EB,WB,04/30/2014,41.758740770124234,-87.57851859043261,"{'latitude': '41.758740770124234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.57851859043261'}",9,22538,39,188,35
2712 W Irving Park  (Speed Camera),WB,,11/15/2013,41.954092657149786,-87.6965965016668,"{'latitude': '41.954092657149786', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.6965965016668'}",2,21538,16,116,20
2080 W Pershing Rd (Speed Camera),EB,WB,09/07/2013,41.82300132296577,-87.67514359128938,"{'latitude': '41.82300132296577', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.67514359128938'}",29,14924,59,706,1
5120 N Pulaski Rd (Speed Camera),NB,SB,08/26/2013,41.97433265461055,-87.728215,"{'latitude': '41.97433265461055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.728215'}",28,21869,13,748,38
6510 W Bryn Mawr Ave (Speed Camera),WB,,09/05/2014,41.98299452666102,-87.79083208818419,"{'latitude': '41.98299452666102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.79083208818419'}",34,22243,36,733,29
5420 S Racine (Speed Camera),NB,SB,03/10/2014,41.795332774848234,-87.65504097855228,"{'latitude': '41.795332774848234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.65504097855228'}",19,14924,59,790,4
7422 S Jeffery (Speed Camera),SB,NB,01/25/2014,41.759441472271405,-87.57630061252594,"{'latitude': '41.759441472271405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.57630061252594'}",9,22538,39,419,35
3646 W Madison St (Speed Camera),EB,WB,09/10/2013,41.88093818643283,-87.71789844857646,"{'latitude': '41.88093818643283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.71789844857646'}",11,21572,28,704,23
1507 W 83rd St (Speed Camera),EB,WB,10/11/2014,41.742993034938884,-87.66113775973551,"{'latitude': '41.742993034938884', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.66113775973551'}",18,21554,70,531,13
2513 W 55th St (Speed Camera),EB,WB,01/18/2014,41.79370224937009,-87.68724427195639,"{'latitude': '41.79370224937009', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68724427195639'}",19,22248,61,112,3
2115 S Western Ave (Speed Camera),NB,,04/25/2014,41.85338493884992,-87.68552968203949,"{'latitude': '41.85338493884992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68552968203949'}",8,14920,33,4,26
10318 S Indianapolis (Speed Camera),NB,SB,12/24/2013,41.70757690291348,-87.52984826112849,"{'latitude': '41.70757690291348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.52984826112849'}",47,21202,49,705,47
7826 S Pulaski Rd (Speed Camera),SB,,02/14/2014,41.75054619772355,-87.72209265589272,"{'latitude': '41.75054619772355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72209265589272'}",23,4300,69,571,30
324 S Kedzie Ave (Speed Camera),NB,SB,03/17/2014,41.87659894232968,-87.70614267856668,"{'latitude': '41.87659894232968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.70614267856668'}",11,21572,28,765,23
2109 E 87th St (Speed Camera),EB,WB,09/18/2014,41.7369870911534,-87.57290117806258,"{'latitude': '41.7369870911534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.57290117806258'}",9,21202,44,473,35
3116 N Narragansett (Speed Camera),SB,,03/10/2014,41.93700435024341,-87.78603672187927,"{'latitude': '41.93700435024341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.78603672187927'}",39,22254,19,137,44
629 State St (Speed Camera),NB,,11/25/2013,41.873849598744286,-87.62744787497319,"{'latitude': '41.873849598744286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.62744787497319'}",48,14913,38,368,10
1229 Western (Speed Camera),NB,,02/24/2014,41.90387807933294,-87.68690274176198,"{'latitude': '41.90387807933294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68690274176198'}",24,21560,25,516,41
140 N Ashland (Speed Camera),SB,,02/07/2014,41.88451419700416,-87.66704209415728,"{'latitude': '41.88451419700416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.66704209415728'}",41,21184,29,579,46
3100 W Augusta Blvd (Speed Camera),EB,WB,10/17/2013,41.89932514072566,-87.70452234551168,"{'latitude': '41.89932514072566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.70452234551168'}",10,21560,25,301,49
445 W 127th St (Speed Camera),EB,WB,10/17/2013,41.66317117223548,-87.63373364696125,"{'latitude': '41.66317117223548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.63373364696125'}",30,21861,50,7,43
506 S Central Ave (Speed Camera),SB,,04/14/2014,41.87358141810132,-87.7647619684764,"{'latitude': '41.87358141810132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.7647619684764'}",52,22216,26,67,7
6818 S Kedzie Ave (Speed Camera),SB,,09/06/2013,41.769106296454154,-87.70305895795853,"{'latitude': '41.769106296454154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.70305895795853'}",6,21867,64,383,31
2445 W 51st St (Speed Camera),EB,,02/24/2014,41.801012880525555,-87.68607060493738,"{'latitude': '41.801012880525555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68607060493738'}",49,22248,61,778,8
819 E 71st St (Speed Camera),EB,WB,08/20/2018,41.765836,-87.605866,"{'latitude': '41.765836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.605866'}",32,21546,67,515,33
5532 S Kedzie Ave (Speed Camera),SB,NB,01/07/2015,41.79251999694851,-87.70367640326066,"{'latitude': '41.79251999694851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.70367640326066'}",49,21867,61,801,8
